"","datetime","site","SY","DOSY","Obs_alb","NSWIR_alb","VIS_alb","depth_m","depth_diff_m","Tavg_C","numDE","CLASS_alb","VFSA_alb"
"1",2007-10-17 00:00:00,"SBSP","SY2008",47,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2007-10-17 01:00:00,"SBSP","SY2008",47,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2007-10-17 02:00:00,"SBSP","SY2008",47,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2007-10-17 03:00:00,"SBSP","SY2008",47,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2007-10-17 04:00:00,"SBSP","SY2008",47,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2007-10-17 05:00:00,"SBSP","SY2008",47,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2007-10-17 06:00:00,"SBSP","SY2008",47,0.92,0.86,0.952459016393442,0.19,-0.01,-6.544,0,0.837227814262946,0.822613652936744
"8",2007-10-17 07:00:00,"SBSP","SY2008",47,0.91,0.85,0.951292458876308,0.25,0.06,-6.56,0,0.84,0.837017342425793
"9",2007-10-17 08:00:00,"SBSP","SY2008",47,0.9,0.82,0.95959595959596,0.23,-0.02,-6.726,0,0.838606976724883,0.833840205175822
"10",2007-10-17 09:00:00,"SBSP","SY2008",47,0.88,0.79,0.9581589958159,0.22,-0.01,-6.476,0,0.837227814262946,0.830678913963993
"11",2007-10-17 10:00:00,"SBSP","SY2008",47,0.83,0.72,0.946610677864427,0.22,0,-6.078,0,0.835862374696791,0.827533389757861
"12",2007-10-17 11:00:00,"SBSP","SY2008",47,0.85,0.74,0.959896507115136,0.22,0,-5.582,0,0.834510521481325,0.824403553919157
"13",2007-10-17 12:00:00,"SBSP","SY2008",47,0.88,0.78,0.962880143112701,0.22,0,-4.3735,0,0.8331721194301,0.821289328201823
"14",2007-10-17 13:00:00,"SBSP","SY2008",47,0.88,0.78,0.963235294117647,0.22,0,-6.304,0,0.831847034701795,0.818190634750052
"15",2007-10-17 14:00:00,"SBSP","SY2008",47,0.92,0.86,0.954613935969868,0.25,0.03,-6.5725,0,0.84,0.826461171883557
"16",2007-10-17 15:00:00,"SBSP","SY2008",47,0.92,0.84,0.961838259175057,0.25,0,-7.4935,0,0.838606976724883,0.823336683753811
"17",2007-10-17 16:00:00,"SBSP","SY2008",47,0.93,0.87,0.964720705585888,0.29,0.04,-8.09,0,0.84,0.83324402704829
"18",2007-10-17 17:00:00,"SBSP","SY2008",47,0.98,0.9,1.02688172043011,NA,NA,NA,NA,NA,NA
"19",2007-10-17 18:00:00,"SBSP","SY2008",47,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",2007-10-17 19:00:00,"SBSP","SY2008",47,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",2007-10-17 20:00:00,"SBSP","SY2008",47,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",2007-10-17 21:00:00,"SBSP","SY2008",47,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",2007-10-17 22:00:00,"SBSP","SY2008",47,NA,NA,NA,NA,NA,NA,NA,NA,NA
