DOY,SolarNoon
1,11:57:00 AM
2,11:56:00 AM
3,11:56:00 AM
4,11:55:00 AM
5,11:55:00 AM
6,11:54:00 AM
7,11:54:00 AM
8,11:53:00 AM
9,11:53:00 AM
10,11:53:00 AM
11,11:52:00 AM
12,11:52:00 AM
13,11:51:00 AM
14,11:51:00 AM
15,11:51:00 AM
16,11:50:00 AM
17,11:50:00 AM
18,11:50:00 AM
19,11:49:00 AM
20,11:49:00 AM
21,11:49:00 AM
22,11:48:00 AM
23,11:48:00 AM
24,11:48:00 AM
25,11:48:00 AM
26,11:47:00 AM
27,11:47:00 AM
28,11:47:00 AM
29,11:47:00 AM
30,11:46:00 AM
31,11:46:00 AM
32,11:46:00 AM
33,11:46:00 AM
34,11:46:00 AM
35,11:46:00 AM
36,11:46:00 AM
37,11:45:00 AM
38,11:45:00 AM
39,11:45:00 AM
40,11:45:00 AM
41,11:45:00 AM
42,11:45:00 AM
43,11:45:00 AM
44,11:45:00 AM
45,11:45:00 AM
46,11:45:00 AM
47,11:45:00 AM
48,11:45:00 AM
49,11:45:00 AM
50,11:45:00 AM
51,11:45:00 AM
52,11:45:00 AM
53,11:45:00 AM
54,11:45:00 AM
55,11:46:00 AM
56,11:46:00 AM
57,11:46:00 AM
58,11:46:00 AM
59,11:46:00 AM
60,11:46:00 AM
61,11:47:00 AM
62,11:47:00 AM
63,11:47:00 AM
64,11:47:00 AM
65,11:47:00 AM
66,11:48:00 AM
67,11:48:00 AM
68,11:48:00 AM
69,11:48:00 AM
70,11:49:00 AM
71,11:49:00 AM
72,11:49:00 AM
73,11:49:00 AM
74,11:50:00 AM
75,11:50:00 AM
76,11:50:00 AM
77,11:51:00 AM
78,11:51:00 AM
79,11:51:00 AM
80,11:51:00 AM
81,11:52:00 AM
82,11:52:00 AM
83,11:52:00 AM
84,11:53:00 AM
85,11:53:00 AM
86,11:53:00 AM
87,11:54:00 AM
88,11:54:00 AM
89,11:54:00 AM
90,11:55:00 AM
91,11:55:00 AM
92,11:55:00 AM
93,11:56:00 AM
94,11:56:00 AM
95,11:56:00 AM
96,11:57:00 AM
97,11:57:00 AM
98,11:57:00 AM
99,11:58:00 AM
100,11:58:00 AM
101,11:58:00 AM
102,11:58:00 AM
103,11:59:00 AM
104,11:59:00 AM
105,11:59:00 AM
106,12:00:00 PM
107,12:00:00 PM
108,12:00:00 PM
109,12:00:00 PM
110,12:01:00 PM
111,12:01:00 PM
112,12:01:00 PM
113,12:01:00 PM
114,12:01:00 PM
115,12:02:00 PM
116,12:02:00 PM
117,12:02:00 PM
118,12:02:00 PM
119,12:02:00 PM
120,12:02:00 PM
121,12:03:00 PM
122,12:03:00 PM
123,12:03:00 PM
124,12:03:00 PM
125,12:03:00 PM
126,12:03:00 PM
127,12:03:00 PM
128,12:03:00 PM
129,12:03:00 PM
130,12:03:00 PM
131,12:03:00 PM
132,12:03:00 PM
133,12:03:00 PM
134,12:03:00 PM
135,12:03:00 PM
136,12:03:00 PM
137,12:03:00 PM
138,12:03:00 PM
139,12:03:00 PM
140,12:03:00 PM
