Date,Julian Day,Snow Depth (cm)
1-Oct-09,274,0
2-Oct-09,275,0
3-Oct-09,276,0
4-Oct-09,277,0
5-Oct-09,278,0
6-Oct-09,279,0
7-Oct-09,280,0
8-Oct-09,281,0
9-Oct-09,282,0
10-Oct-09,283,0
11-Oct-09,284,0
12-Oct-09,285,0
13-Oct-09,286,0
14-Oct-09,287,0
15-Oct-09,288,0
16-Oct-09,289,0
17-Oct-09,290,0
18-Oct-09,291,0
19-Oct-09,292,0
20-Oct-09,293,0
21-Oct-09,294,0
22-Oct-09,295,0
23-Oct-09,296,0
24-Oct-09,297,0
25-Oct-09,298,0
26-Oct-09,299,0
27-Oct-09,300,0
28-Oct-09,301,0
29-Oct-09,302,0
30-Oct-09,303,0
31-Oct-09,304,0
1-Nov-09,305,0
2-Nov-09,306,0
3-Nov-09,307,0
4-Nov-09,308,0
5-Nov-09,309,0
6-Nov-09,310,0
7-Nov-09,311,0
8-Nov-09,312,0
9-Nov-09,313,0
10-Nov-09,314,0
11-Nov-09,315,0
12-Nov-09,316,0
13-Nov-09,317,0
14-Nov-09,318,0
15-Nov-09,319,0
16-Nov-09,320,0
17-Nov-09,321,0
18-Nov-09,322,0
19-Nov-09,323,0
20-Nov-09,324,0
21-Nov-09,325,0
22-Nov-09,326,0
23-Nov-09,327,0
24-Nov-09,328,0
25-Nov-09,329,0
26-Nov-09,330,0
27-Nov-09,331,Trace
28-Nov-09,332,0
29-Nov-09,333,0
30-Nov-09,334,0
1-Dec-09,335,1
2-Dec-09,336,0
3-Dec-09,337,0
4-Dec-09,338,0
5-Dec-09,339,0
6-Dec-09,340,0.5
7-Dec-09,341,0
8-Dec-09,342,0
9-Dec-09,343,4
10-Dec-09,344,7
11-Dec-09,345,7
12-Dec-09,346,0
13-Dec-09,347,0
14-Dec-09,348,0
15-Dec-09,349,0
16-Dec-09,350,5
17-Dec-09,351,0
18-Dec-09,352,0
19-Dec-09,353,0
20-Dec-09,354,0
21-Dec-09,355,0.5
22-Dec-09,356,2
23-Dec-09,357,0
24-Dec-09,358,Trace
25-Dec-09,359,0
26-Dec-09,360,0
27-Dec-09,361,0
28-Dec-09,362,1
29-Dec-09,363,1.5
30-Dec-09,364,Trace
31-Dec-09,365,0
1-Jan-10,1,1
2-Jan-10,2,1
3-Jan-10,3,0
4-Jan-10,4,Trace
5-Jan-10,5,1
6-Jan-10,6,0
7-Jan-10,7,0
8-Jan-10,8,4
9-Jan-10,9,0
10-Jan-10,10,0
11-Jan-10,11,0
12-Jan-10,12,3
13-Jan-10,13,0
14-Jan-10,14,0
15-Jan-10,15,0
16-Jan-10,16,0
17-Jan-10,17,0
18-Jan-10,18,0
19-Jan-10,19,0
20-Jan-10,20,0.5
21-Jan-10,21,0
22-Jan-10,22,0
23-Jan-10,23,0
24-Jan-10,24,0
25-Jan-10,25,0
26-Jan-10,26,1
27-Jan-10,27,2
28-Jan-10,28,1.5
29-Jan-10,29,2.5
30-Jan-10,30,0
31-Jan-10,31,0
1-Feb-10,32,3
2-Feb-10,33,0
3-Feb-10,34,1.5
4-Feb-10,35,0.5
5-Feb-10,36,0
6-Feb-10,37,0
7-Feb-10,38,0
8-Feb-10,39,0
9-Feb-10,40,0
10-Feb-10,41,0
11-Feb-10,42,1
12-Feb-10,43,0
13-Feb-10,44,0
14-Feb-10,45,0
15-Feb-10,46,0
16-Feb-10,47,0
17-Feb-10,48,0
18-Feb-10,49,0
19-Feb-10,50,Trace
20-Feb-10,51,0
21-Feb-10,52,0
22-Feb-10,53,0
23-Feb-10,54,15
24-Feb-10,55,1
25-Feb-10,56,Trace
26-Feb-10,57,9
27-Feb-10,58,0
28-Feb-10,59,0
1-Mar-10,60,0
2-Mar-10,61,0
3-Mar-10,62,0
4-Mar-10,63,0
5-Mar-10,64,0
6-Mar-10,65,0
7-Mar-10,66,0
8-Mar-10,67,0
9-Mar-10,68,0
10-Mar-10,69,0
11-Mar-10,70,0
12-Mar-10,71,0
13-Mar-10,72,0
14-Mar-10,73,0
15-Mar-10,74,0
16-Mar-10,75,0
17-Mar-10,76,0
18-Mar-10,77,0
19-Mar-10,78,0
20-Mar-10,79,0
21-Mar-10,80,0
22-Mar-10,81,0
23-Mar-10,82,0
24-Mar-10,83,0
25-Mar-10,84,0
26-Mar-10,85,0
27-Mar-10,86,0
28-Mar-10,87,0
29-Mar-10,88,0
30-Mar-10,89,0
31-Mar-10,90,0
1-Apr-10,91,0
2-Apr-10,92,0
3-Apr-10,93,0
4-Apr-10,94,0
5-Apr-10,95,0
6-Apr-10,96,0
7-Apr-10,97,0
8-Apr-10,98,0
9-Apr-10,99,Trace
10-Apr-10,100,0
11-Apr-10,101,0
12-Apr-10,102,0
13-Apr-10,103,0
14-Apr-10,104,0
15-Apr-10,105,0
16-Apr-10,106,0
17-Apr-10,107,0
18-Apr-10,108,0
19-Apr-10,109,0
20-Apr-10,110,0
21-Apr-10,111,0
22-Apr-10,112,0
23-Apr-10,113,0
24-Apr-10,114,0
25-Apr-10,115,0
26-Apr-10,116,0
27-Apr-10,117,0
28-Apr-10,118,0
29-Apr-10,119,0
30-Apr-10,120,0
