Date,Hkin Caps
8/1/17,867.0237628
8/2/17,865.8822022
8/3/17,864.7047004
8/4/17,1285.917701
8/5/17,862.2393661
8/6/17,545.062051
8/7/17,859.6227684
8/8/17,858.2562015
8/9/17,542.466172
8/10/17,#N/A
8/11/17,#N/A
8/12/17,852.3873766
8/13/17,850.8165892
8/14/17,#N/A
8/15/17,#N/A
8/16/17,#N/A
8/17/17,844.1022643
8/18/17,842.3132454
8/19/17,840.4790488
8/20/17,428.3492335
8/21/17,1245.98104
8/22/17,834.7007833
8/23/17,1240.036283
8/24/17,1236.958475
8/25/17,#N/A
8/26/17,1230.589311
8/27/17,521.7494458
8/28/17,821.8675657
8/29/17,819.5592974
8/30/17,817.2019379
8/31/17,515.841626
9/1/17,812.339212
9/2/17,1206.011131
9/3/17,807.2782549
9/4/17,804.6732375
9/5/17,802.0184928
9/6/17,799.3140425
9/7/17,1186.243951
9/8/17,793.7563101
9/9/17,790.9032732
9/10/17,788.0010228
9/11/17,785.0497885
9/12/17,782.0498447
9/13/17,779.0015109
9/14/17,775.9051534
9/15/17,1150.802629
9/16/17,769.5700683
9/17/17,766.3323122
9/18/17,1136.338379
9/19/17,1131.380349
9/20/17,1126.355587
9/21/17,1121.265155
9/22/17,749.4652952
9/23/17,745.9612271
9/24/17,470.0184501
9/25/17,1100.270604
9/26/17,#N/A
9/27/17,731.5378925
9/28/17,460.787809
9/29/17,724.0961617
9/30/17,720.3216939
10/1/17,716.5131226
10/2/17,712.6717368
10/3/17,1055.549407
10/4/17,446.2650535
10/5/17,#N/A
10/6/17,1037.986811
10/7/17,1032.053323
10/8/17,1026.084083
10/9/17,433.6578498
10/10/17,1014.048188
10/11/17,1007.986629
10/12/17,672.7730986
10/13/17,995.7895364
10/14/17,989.6594975
10/15/17,983.5122308
10/16/17,977.3506374
10/17/17,971.1776759
10/18/17,#N/A
10/19/17,407.6099458
10/20/17,639.6826929
10/21/17,#N/A
10/22/17,#N/A
10/23/17,934.0735597
10/24/17,927.9082251
10/25/17,921.7569845
10/26/17,915.6232056
10/27/17,909.5102875
10/28/17,903.421658
10/29/17,897.3607703
10/30/17,891.3311001
10/31/17,594.5010811
11/1/17,879.3794077
11/2/17,#N/A
11/3/17,867.5947118
11/4/17,578.6790402
11/5/17,856.0052938
11/6/17,#N/A
11/7/17,567.1733696
11/8/17,839.0492585
11/9/17,833.5255255
11/10/17,828.0717836
11/11/17,822.6915194
11/12/17,817.3881982
11/13/17,812.1652606
11/14/17,807.0261191
11/15/17,#VALUE!
11/16/17,797.0127138
11/17/17,531.9235241
11/18/17,#N/A
11/19/17,782.7043993
11/20/17,266.8974715
11/21/17,519.5226479
11/22/17,769.3272072
11/23/17,765.0894928
11/24/17,760.9674174
11/25/17,756.9638654
11/26/17,753.0816543
11/27/17,749.3235315
11/28/17,#N/A
11/29/17,254.5676438
11/30/17,738.8200562
12/1/17,252.3018478
12/2/17,732.4851409
12/3/17,729.5249666
12/4/17,#N/A
12/5/17,#N/A
