date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise,sunset,daylight,sunrise_f,sunset_f,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2021-03-21,16.8,4.85,5.05,-6.7,,-7,97,54.4,57,17,-2.2,-6.4,-5.8,-9.4,26,8.54,13,0,33,20,103.41,103.13,103.11,102.81,99.42,99.17,99.12,98.83,16100,16100,16100,16100,3.6,3.1,3,2.5,12.9,0,0,0,0,0,,,,07:23:00,19:35:00,12.2,7.38,19.58,5,5,14,15,-1,0,,0,0,0,0,,,,,,,,
2021-03-20,13.4,3.23,3.2,-7,,-8,95,53.8,58,21,-4.8,-7.4,-7.5,-10.3,17,7.29,8.5,0,,,103.69,103.49,103.5,103.31,99.69,99.5,99.52,99.35,16100,16100,16100,16100,3.6,2.6,2.8,2.1,14.8,0,0,0,0,0,0,0,0,07:25:00,19:33:00,12.13,7.42,19.55,5,5,11,11,-4,-4,,0,0,0,0,,,,,,,,
2021-03-19,6,-0.74,-0.2,-6.4,,-13,69,42,47.5,26,-6.3,-12.7,-11.9,-17.5,22,13.46,13,4,33,3,103.45,103.2,102.98,102.51,99.44,99.2,99,98.56,16100,16100,16100,16100,2.5,2.1,2.2,1.9,18.2,0,0,0,0,0,0,0,0,07:27:00,19:32:00,12.08,7.45,19.53,4,4,7,7,-4,-4,,0,0,0,0,,,,,,,,
2021-03-18,5.9,2.95,1.25,-3.4,,-8,86,62.1,58,30,0,-4.1,-7.5,-15,28,18.42,16,4,46,4,102.42,101.75,101.95,101.48,98.47,97.85,98.03,97.6,16100,16100,16100,16100,2.9,2.3,2.5,2,16.8,0,0,0,0,0,0,0,0,07:29:00,19:31:00,12.03,7.48,19.52,3,5,6,6,-9,-7,,4,3.3,2,0,,,,,,,,
2021-03-17,11.9,4.78,5.75,-0.4,,-3,82,67.6,66,50,2.3,-1,-0.8,-3.9,18,7.33,9,0,,,102.02,101.76,101.77,101.52,98.08,97.85,97.86,97.64,16100,16100,16100,16100,3.6,2.9,3,2.4,12.2,0,0.8,0,0,0,0,0,0,07:30:00,19:30:00,12,7.5,19.5,5,5,10,13,0,0,,4,2.8,2,0,,,,,,,,
2021-03-16,3.9,-0.3,0.3,-3.3,,-11,76,57.3,61.5,47,-4,-7.9,-8.6,-13.1,32,17.83,16,0,42,6,102.35,101.87,102,101.65,98.36,97.92,98.04,97.72,16100,16100,16100,16100,2.5,2.3,2.4,2.2,17.7,0,0,0,0,0,0,0,0,07:32:00,19:29:00,11.95,7.53,19.48,2,3,3,3,-4,-2,,4,4,3.5,3,,,,,,,,
2021-03-15,0.5,-4.77,-4.45,-9.4,,-14,63,40.4,41,19,-12.1,-17,-16.7,-21.3,26,15.54,15.5,5,37,9,103.51,103.11,102.98,102.44,99.45,99.08,98.94,98.44,16100,16100,16100,16100,2.4,2.2,2.2,2,22.4,0,0,0,0,0,0,0,0,07:34:00,19:27:00,11.88,7.57,19.45,5,5,2,2,-5,-4,,4,0.5,2,0,,,,,,,,
2021-03-14,2.5,-1.25,-2.04,-6.6,,-11,83,61.5,61.5,40,-1.9,-8,-7.4,-12.9,35,22.3,22,9,58,33,103.32,102.55,102.63,101.94,99.29,98.58,98.65,98.01,16100,16100,16100,16100,2.4,2.2,2.2,2.1,20,0,0,0,0,0,0,0,0,07:36:00,19:26:00,11.83,7.6,19.43,4,4,2,2,-13,-13,,4,0.7,2,0,,,,,,,,
2021-03-13,4.9,-0.86,-1.29,-7.5,,-12,75,58.5,57.5,40,-3.9,-8.3,-7.6,-11.3,32,19.12,18,4,48,28,103.15,102.68,102.56,101.96,99.12,98.69,98.58,98.03,16100,16100,16100,16100,2.5,2.2,2.2,2,19.3,0,0,0,0,0,0,0,0,06:37:00,18:25:00,11.8,6.62,18.42,4,4,5,5,-10,-1,,4,0.9,2,0,,,,,,,,
2021-03-12,8,1.56,4.75,1.5,,-12,86,66,63.5,41,-0.2,-4.3,-5.2,-10.3,48,29.62,31.5,15,67,30,103.02,102.4,102.49,101.96,99.05,98.47,98.57,98.09,16100,16100,16100,16100,2.3,2.1,2.1,1.9,13.2,0,0,0,0,0,0,0,0,06:39:00,18:24:00,11.75,6.65,18.4,4,4,8,8,-10,-8,,3,1,1.5,0,,,,,,,,
