"","x"
"1",2017-08-01 12:18:20
"2",2017-08-02 12:18:16
"3",2017-08-03 12:18:12
"4",2017-08-04 12:18:08
"5",2017-08-05 12:18:02
"6",2017-08-06 12:17:57
"7",2017-08-07 12:17:50
"8",2017-08-08 12:17:43
"9",2017-08-09 12:17:36
"10",2017-08-10 12:17:27
"11",2017-08-11 12:17:19
"12",2017-08-12 12:17:09
"13",2017-08-13 12:16:59
"14",2017-08-14 12:16:49
"15",2017-08-15 12:16:38
"16",2017-08-16 12:16:26
"17",2017-08-17 12:16:14
"18",2017-08-18 12:16:01
"19",2017-08-19 12:15:48
"20",2017-08-20 12:15:34
"21",2017-08-21 12:15:20
"22",2017-08-22 12:15:05
"23",2017-08-23 12:14:50
"24",2017-08-24 12:14:34
"25",2017-08-25 12:14:18
"26",2017-08-26 12:14:01
"27",2017-08-27 12:13:44
"28",2017-08-28 12:13:27
"29",2017-08-29 12:13:09
"30",2017-08-30 12:12:50
"31",2017-08-31 12:12:32
"32",2017-09-01 12:12:13
"33",2017-09-02 12:11:53
"34",2017-09-03 12:11:33
"35",2017-09-04 12:11:13
"36",2017-09-05 12:10:53
"37",2017-09-06 12:10:32
"38",2017-09-07 12:10:11
"39",2017-09-08 12:09:50
"40",2017-09-09 12:09:29
"41",2017-09-10 12:09:08
"42",2017-09-11 12:08:46
"43",2017-09-12 12:08:24
"44",2017-09-13 12:08:02
"45",2017-09-14 12:07:40
"46",2017-09-15 12:07:18
"47",2017-09-16 12:06:56
"48",2017-09-17 12:06:34
"49",2017-09-18 12:06:12
"50",2017-09-19 12:05:49
"51",2017-09-20 12:05:27
"52",2017-09-21 12:05:05
"53",2017-09-22 12:04:43
"54",2017-09-23 12:04:21
"55",2017-09-24 12:04:00
"56",2017-09-25 12:03:38
"57",2017-09-26 12:03:17
"58",2017-09-27 12:02:56
"59",2017-09-28 12:02:35
"60",2017-09-29 12:02:14
"61",2017-09-30 12:01:54
"62",2017-10-01 12:01:34
"63",2017-10-02 12:01:14
"64",2017-10-03 12:00:54
"65",2017-10-04 12:00:35
"66",2017-10-05 12:00:17
"67",2017-10-06 11:59:59
"68",2017-10-07 11:59:41
"69",2017-10-08 11:59:23
"70",2017-10-09 11:59:07
"71",2017-10-10 11:58:50
"72",2017-10-11 11:58:35
"73",2017-10-12 11:58:19
"74",2017-10-13 11:58:05
"75",2017-10-14 11:57:51
"76",2017-10-15 11:57:37
"77",2017-10-16 11:57:24
"78",2017-10-17 11:57:12
"79",2017-10-18 11:57:01
"80",2017-10-19 11:56:50
"81",2017-10-20 11:56:40
"82",2017-10-21 11:56:30
"83",2017-10-22 11:56:22
"84",2017-10-23 11:56:14
"85",2017-10-24 11:56:06
"86",2017-10-25 11:56:00
"87",2017-10-26 11:55:54
"88",2017-10-27 11:55:49
"89",2017-10-28 11:55:45
"90",2017-10-29 11:55:42
"91",2017-10-30 11:55:39
"92",2017-10-31 11:55:38
"93",2017-11-01 11:55:37
"94",2017-11-02 11:55:37
"95",2017-11-03 11:55:38
"96",2017-11-04 11:55:39
"97",2017-11-05 11:55:42
"98",2017-11-06 11:55:45
"99",2017-11-07 11:55:49
"100",2017-11-08 11:55:54
"101",2017-11-09 11:56:00
"102",2017-11-10 11:56:07
"103",2017-11-11 11:56:14
"104",2017-11-12 11:56:23
"105",2017-11-13 11:56:32
"106",2017-11-14 11:56:42
"107",2017-11-15 11:56:53
"108",2017-11-16 11:57:04
"109",2017-11-17 11:57:17
"110",2017-11-18 11:57:30
"111",2017-11-19 11:57:44
"112",2017-11-20 11:57:59
"113",2017-11-21 11:58:15
"114",2017-11-22 11:58:31
"115",2017-11-23 11:58:48
"116",2017-11-24 11:59:06
"117",2017-11-25 11:59:24
"118",2017-11-26 11:59:43
"119",2017-11-27 12:00:03
"120",2017-11-28 12:00:23
"121",2017-11-29 12:00:45
"122",2017-11-30 12:01:06
"123",2017-12-01 12:01:29
"124",2017-12-02 12:01:51
"125",2017-12-03 12:02:15
"126",2017-12-04 12:02:39
"127",2017-12-05 12:03:03
"128",2017-12-06 12:03:28
"129",2017-12-07 12:03:53
"130",2017-12-08 12:04:19
"131",2017-12-09 12:04:45
"132",2017-12-10 12:05:12
"133",2017-12-11 12:05:39
"134",2017-12-12 12:06:06
"135",2017-12-13 12:06:33
"136",2017-12-14 12:07:01
"137",2017-12-15 12:07:29
"138",2017-12-16 12:07:57
"139",2017-12-17 12:08:26
"140",2017-12-18 12:08:54
"141",2017-12-19 12:09:23
"142",2017-12-20 12:09:52
"143",2017-12-21 12:10:21
"144",2017-12-22 12:10:50
"145",2017-12-23 12:11:19
"146",2017-12-24 12:11:47
"147",2017-12-25 12:12:16
"148",2017-12-26 12:12:45
"149",2017-12-27 12:13:14
"150",2017-12-28 12:13:42
"151",2017-12-29 12:14:10
"152",2017-12-30 12:14:39
"153",2017-12-31 12:15:07
"154",2018-01-01 12:15:34
"155",2018-01-02 12:16:02
"156",2018-01-03 12:16:29
"157",2018-01-04 12:16:55
"158",2018-01-05 12:17:22
"159",2018-01-06 12:17:48
"160",2018-01-07 12:18:13
"161",2018-01-08 12:18:39
"162",2018-01-09 12:19:03
"163",2018-01-10 12:19:27
"164",2018-01-11 12:19:51
"165",2018-01-12 12:20:14
"166",2018-01-13 12:20:37
"167",2018-01-14 12:20:59
"168",2018-01-15 12:21:21
"169",2018-01-16 12:21:41
"170",2018-01-17 12:22:02
"171",2018-01-18 12:22:21
"172",2018-01-19 12:22:40
"173",2018-01-20 12:22:58
"174",2018-01-21 12:23:16
"175",2018-01-22 12:23:33
"176",2018-01-23 12:23:49
"177",2018-01-24 12:24:04
"178",2018-01-25 12:24:19
"179",2018-01-26 12:24:33
"180",2018-01-27 12:24:46
"181",2018-01-28 12:24:58
"182",2018-01-29 12:25:09
"183",2018-01-30 12:25:20
"184",2018-01-31 12:25:30
"185",2018-02-01 12:25:39
"186",2018-02-02 12:25:47
"187",2018-02-03 12:25:55
"188",2018-02-04 12:26:02
"189",2018-02-05 12:26:07
"190",2018-02-06 12:26:12
"191",2018-02-07 12:26:17
"192",2018-02-08 12:26:20
"193",2018-02-09 12:26:23
"194",2018-02-10 12:26:24
"195",2018-02-11 12:26:25
"196",2018-02-12 12:26:26
"197",2018-02-13 12:26:25
"198",2018-02-14 12:26:24
"199",2018-02-15 12:26:21
"200",2018-02-16 12:26:18
"201",2018-02-17 12:26:15
"202",2018-02-18 12:26:10
"203",2018-02-19 12:26:05
"204",2018-02-20 12:25:59
"205",2018-02-21 12:25:52
"206",2018-02-22 12:25:45
"207",2018-02-23 12:25:37
"208",2018-02-24 12:25:28
"209",2018-02-25 12:25:19
"210",2018-02-26 12:25:09
"211",2018-02-27 12:24:59
"212",2018-02-28 12:24:48
"213",2018-03-01 12:24:36
"214",2018-03-02 12:24:23
"215",2018-03-03 12:24:11
"216",2018-03-04 12:23:57
"217",2018-03-05 12:23:43
"218",2018-03-06 12:23:29
"219",2018-03-07 12:23:14
"220",2018-03-08 12:22:59
"221",2018-03-09 12:22:44
"222",2018-03-10 12:22:28
"223",2018-03-11 12:22:11
"224",2018-03-12 12:21:54
"225",2018-03-13 12:21:37
"226",2018-03-14 12:21:20
"227",2018-03-15 12:21:03
"228",2018-03-16 12:20:45
"229",2018-03-17 12:20:27
"230",2018-03-18 12:20:08
"231",2018-03-19 12:19:50
"232",2018-03-20 12:19:31
"233",2018-03-21 12:19:13
"234",2018-03-22 12:18:54
"235",2018-03-23 12:18:35
"236",2018-03-24 12:18:16
"237",2018-03-25 12:17:57
"238",2018-03-26 12:17:38
"239",2018-03-27 12:17:19
"240",2018-03-28 12:17:00
"241",2018-03-29 12:16:42
"242",2018-03-30 12:16:23
"243",2018-03-31 12:16:04
"244",2018-04-01 12:15:46
"245",2018-04-02 12:15:27
"246",2018-04-03 12:15:09
"247",2018-04-04 12:14:51
"248",2018-04-05 12:14:34
"249",2018-04-06 12:14:16
"250",2018-04-07 12:13:59
"251",2018-04-08 12:13:42
"252",2018-04-09 12:13:25
"253",2018-04-10 12:13:09
"254",2018-04-11 12:12:53
"255",2018-04-12 12:12:37
"256",2018-04-13 12:12:22
"257",2018-04-14 12:12:07
"258",2018-04-15 12:11:53
"259",2018-04-16 12:11:38
"260",2018-04-17 12:11:25
"261",2018-04-18 12:11:12
"262",2018-04-19 12:10:59
"263",2018-04-20 12:10:46
"264",2018-04-21 12:10:35
"265",2018-04-22 12:10:23
"266",2018-04-23 12:10:13
"267",2018-04-24 12:10:02
"268",2018-04-25 12:09:52
"269",2018-04-26 12:09:43
"270",2018-04-27 12:09:34
"271",2018-04-28 12:09:26
"272",2018-04-29 12:09:19
"273",2018-04-30 12:09:11
"274",2018-05-01 12:09:05
"275",2018-05-02 12:08:59
"276",2018-05-03 12:08:53
"277",2018-05-04 12:08:49
"278",2018-05-05 12:08:44
"279",2018-05-06 12:08:40
"280",2018-05-07 12:08:37
"281",2018-05-08 12:08:35
"282",2018-05-09 12:08:33
"283",2018-05-10 12:08:31
"284",2018-05-11 12:08:30
"285",2018-05-12 12:08:30
"286",2018-05-13 12:08:30
"287",2018-05-14 12:08:31
"288",2018-05-15 12:08:32
"289",2018-05-16 12:08:34
"290",2018-05-17 12:08:36
"291",2018-05-18 12:08:39
"292",2018-05-19 12:08:42
"293",2018-05-20 12:08:46
"294",2018-05-21 12:08:50
"295",2018-05-22 12:08:55
"296",2018-05-23 12:09:00
"297",2018-05-24 12:09:06
"298",2018-05-25 12:09:12
"299",2018-05-26 12:09:19
"300",2018-05-27 12:09:26
"301",2018-05-28 12:09:33
"302",2018-05-29 12:09:41
"303",2018-05-30 12:09:49
"304",2018-05-31 12:09:58
"305",2018-06-01 12:10:07
"306",2018-06-02 12:10:16
"307",2018-06-03 12:10:26
"308",2018-06-04 12:10:35
"309",2018-06-05 12:10:46
"310",2018-06-06 12:10:56
"311",2018-06-07 12:11:07
