"","x"
"1",2017-08-01 12:00:00
"2",2017-08-02 12:00:00
"3",2017-08-03 12:00:00
"4",2017-08-04 12:00:00
"5",2017-08-05 12:00:00
"6",2017-08-06 12:00:00
"7",2017-08-07 12:00:00
"8",2017-08-08 12:00:00
"9",2017-08-09 12:00:00
"10",2017-08-10 12:00:00
"11",2017-08-11 12:00:00
"12",2017-08-12 12:00:00
"13",2017-08-13 12:00:00
"14",2017-08-14 12:00:00
"15",2017-08-15 12:00:00
"16",2017-08-16 12:00:00
"17",2017-08-17 12:00:00
"18",2017-08-18 12:00:00
"19",2017-08-19 12:00:00
"20",2017-08-20 12:00:00
"21",2017-08-21 12:00:00
"22",2017-08-22 12:00:00
"23",2017-08-23 12:00:00
"24",2017-08-24 12:00:00
"25",2017-08-25 12:00:00
"26",2017-08-26 12:00:00
"27",2017-08-27 12:00:00
"28",2017-08-28 12:00:00
"29",2017-08-29 12:00:00
"30",2017-08-30 12:00:00
"31",2017-08-31 12:00:00
"32",2017-09-01 12:00:00
"33",2017-09-02 12:00:00
"34",2017-09-03 12:00:00
"35",2017-09-04 12:00:00
"36",2017-09-05 12:00:00
"37",2017-09-06 12:00:00
"38",2017-09-07 12:00:00
"39",2017-09-08 12:00:00
"40",2017-09-09 12:00:00
"41",2017-09-10 12:00:00
"42",2017-09-11 12:00:00
"43",2017-09-12 12:00:00
"44",2017-09-13 12:00:00
"45",2017-09-14 12:00:00
"46",2017-09-15 12:00:00
"47",2017-09-16 12:00:00
"48",2017-09-17 12:00:00
"49",2017-09-18 12:00:00
"50",2017-09-19 12:00:00
"51",2017-09-20 12:00:00
"52",2017-09-21 12:00:00
"53",2017-09-22 12:00:00
"54",2017-09-23 12:00:00
"55",2017-09-24 12:00:00
"56",2017-09-25 12:00:00
"57",2017-09-26 12:00:00
"58",2017-09-27 12:00:00
"59",2017-09-28 12:00:00
"60",2017-09-29 12:00:00
"61",2017-09-30 12:00:00
"62",2017-10-01 12:00:00
"63",2017-10-02 12:00:00
"64",2017-10-03 12:00:00
"65",2017-10-04 12:00:00
"66",2017-10-05 12:00:00
"67",2017-10-06 12:00:00
"68",2017-10-07 12:00:00
"69",2017-10-08 12:00:00
"70",2017-10-09 12:00:00
"71",2017-10-10 12:00:00
"72",2017-10-11 12:00:00
"73",2017-10-12 12:00:00
"74",2017-10-13 12:00:00
"75",2017-10-14 12:00:00
"76",2017-10-15 12:00:00
"77",2017-10-16 12:00:00
"78",2017-10-17 12:00:00
"79",2017-10-18 12:00:00
"80",2017-10-19 12:00:00
"81",2017-10-20 12:00:00
"82",2017-10-21 12:00:00
"83",2017-10-22 12:00:00
"84",2017-10-23 12:00:00
"85",2017-10-24 12:00:00
"86",2017-10-25 12:00:00
"87",2017-10-26 12:00:00
"88",2017-10-27 12:00:00
"89",2017-10-28 12:00:00
"90",2017-10-29 12:00:00
"91",2017-10-30 12:00:00
"92",2017-10-31 12:00:00
"93",2017-11-01 12:00:00
"94",2017-11-02 12:00:00
"95",2017-11-03 12:00:00
"96",2017-11-04 12:00:00
"97",2017-11-05 12:00:00
"98",2017-11-06 12:00:00
"99",2017-11-07 12:00:00
"100",2017-11-08 12:00:00
"101",2017-11-09 12:00:00
"102",2017-11-10 12:00:00
"103",2017-11-11 12:00:00
"104",2017-11-12 12:00:00
"105",2017-11-13 12:00:00
"106",2017-11-14 12:00:00
"107",2017-11-15 12:00:00
"108",2017-11-16 12:00:00
"109",2017-11-17 12:00:00
"110",2017-11-18 12:00:00
"111",2017-11-19 12:00:00
"112",2017-11-20 12:00:00
"113",2017-11-21 12:00:00
"114",2017-11-22 12:00:00
"115",2017-11-23 12:00:00
"116",2017-11-24 12:00:00
"117",2017-11-25 12:00:00
"118",2017-11-26 12:00:00
"119",2017-11-27 12:00:00
"120",2017-11-28 12:00:00
"121",2017-11-29 12:00:00
"122",2017-11-30 12:00:00
"123",2017-12-01 12:00:00
"124",2017-12-02 12:00:00
"125",2017-12-03 12:00:00
"126",2017-12-04 12:00:00
"127",2017-12-05 12:00:00
"128",2017-12-06 12:00:00
"129",2017-12-07 12:00:00
"130",2017-12-08 12:00:00
"131",2017-12-09 12:00:00
"132",2017-12-10 12:00:00
"133",2017-12-11 12:00:00
"134",2017-12-12 12:00:00
"135",2017-12-13 12:00:00
"136",2017-12-14 12:00:00
"137",2017-12-15 12:00:00
"138",2017-12-16 12:00:00
"139",2017-12-17 12:00:00
"140",2017-12-18 12:00:00
"141",2017-12-19 12:00:00
"142",2017-12-20 12:00:00
"143",2017-12-21 12:00:00
"144",2017-12-22 12:00:00
"145",2017-12-23 12:00:00
"146",2017-12-24 12:00:00
"147",2017-12-25 12:00:00
"148",2017-12-26 12:00:00
"149",2017-12-27 12:00:00
"150",2017-12-28 12:00:00
"151",2017-12-29 12:00:00
"152",2017-12-30 12:00:00
"153",2017-12-31 12:00:00
"154",2018-01-01 12:00:00
"155",2018-01-02 12:00:00
"156",2018-01-03 12:00:00
"157",2018-01-04 12:00:00
"158",2018-01-05 12:00:00
"159",2018-01-06 12:00:00
"160",2018-01-07 12:00:00
"161",2018-01-08 12:00:00
"162",2018-01-09 12:00:00
"163",2018-01-10 12:00:00
"164",2018-01-11 12:00:00
"165",2018-01-12 12:00:00
"166",2018-01-13 12:00:00
"167",2018-01-14 12:00:00
"168",2018-01-15 12:00:00
"169",2018-01-16 12:00:00
"170",2018-01-17 12:00:00
"171",2018-01-18 12:00:00
"172",2018-01-19 12:00:00
"173",2018-01-20 12:00:00
"174",2018-01-21 12:00:00
"175",2018-01-22 12:00:00
"176",2018-01-23 12:00:00
"177",2018-01-24 12:00:00
"178",2018-01-25 12:00:00
"179",2018-01-26 12:00:00
"180",2018-01-27 12:00:00
"181",2018-01-28 12:00:00
"182",2018-01-29 12:00:00
"183",2018-01-30 12:00:00
"184",2018-01-31 12:00:00
"185",2018-02-01 12:00:00
"186",2018-02-02 12:00:00
"187",2018-02-03 12:00:00
"188",2018-02-04 12:00:00
"189",2018-02-05 12:00:00
"190",2018-02-06 12:00:00
"191",2018-02-07 12:00:00
"192",2018-02-08 12:00:00
"193",2018-02-09 12:00:00
"194",2018-02-10 12:00:00
"195",2018-02-11 12:00:00
"196",2018-02-12 12:00:00
"197",2018-02-13 12:00:00
"198",2018-02-14 12:00:00
"199",2018-02-15 12:00:00
"200",2018-02-16 12:00:00
"201",2018-02-17 12:00:00
"202",2018-02-18 12:00:00
"203",2018-02-19 12:00:00
"204",2018-02-20 12:00:00
"205",2018-02-21 12:00:00
"206",2018-02-22 12:00:00
"207",2018-02-23 12:00:00
"208",2018-02-24 12:00:00
"209",2018-02-25 12:00:00
"210",2018-02-26 12:00:00
"211",2018-02-27 12:00:00
"212",2018-02-28 12:00:00
"213",2018-03-01 12:00:00
"214",2018-03-02 12:00:00
"215",2018-03-03 12:00:00
"216",2018-03-04 12:00:00
"217",2018-03-05 12:00:00
"218",2018-03-06 12:00:00
"219",2018-03-07 12:00:00
"220",2018-03-08 12:00:00
"221",2018-03-09 12:00:00
"222",2018-03-10 12:00:00
"223",2018-03-11 12:00:00
"224",2018-03-12 12:00:00
"225",2018-03-13 12:00:00
"226",2018-03-14 12:00:00
"227",2018-03-15 12:00:00
"228",2018-03-16 12:00:00
"229",2018-03-17 12:00:00
"230",2018-03-18 12:00:00
"231",2018-03-19 12:00:00
"232",2018-03-20 12:00:00
"233",2018-03-21 12:00:00
"234",2018-03-22 12:00:00
"235",2018-03-23 12:00:00
"236",2018-03-24 12:00:00
"237",2018-03-25 12:00:00
"238",2018-03-26 12:00:00
"239",2018-03-27 12:00:00
"240",2018-03-28 12:00:00
"241",2018-03-29 12:00:00
"242",2018-03-30 12:00:00
"243",2018-03-31 12:00:00
"244",2018-04-01 12:00:00
"245",2018-04-02 12:00:00
"246",2018-04-03 12:00:00
"247",2018-04-04 12:00:00
"248",2018-04-05 12:00:00
"249",2018-04-06 12:00:00
"250",2018-04-07 12:00:00
"251",2018-04-08 12:00:00
"252",2018-04-09 12:00:00
"253",2018-04-10 12:00:00
"254",2018-04-11 12:00:00
"255",2018-04-12 12:00:00
"256",2018-04-13 12:00:00
"257",2018-04-14 12:00:00
"258",2018-04-15 12:00:00
"259",2018-04-16 12:00:00
"260",2018-04-17 12:00:00
"261",2018-04-18 12:00:00
"262",2018-04-19 12:00:00
"263",2018-04-20 12:00:00
"264",2018-04-21 12:00:00
"265",2018-04-22 12:00:00
"266",2018-04-23 12:00:00
"267",2018-04-24 12:00:00
"268",2018-04-25 12:00:00
"269",2018-04-26 12:00:00
"270",2018-04-27 12:00:00
"271",2018-04-28 12:00:00
"272",2018-04-29 12:00:00
"273",2018-04-30 12:00:00
"274",2018-05-01 12:00:00
"275",2018-05-02 12:00:00
"276",2018-05-03 12:00:00
"277",2018-05-04 12:00:00
"278",2018-05-05 12:00:00
"279",2018-05-06 12:00:00
"280",2018-05-07 12:00:00
"281",2018-05-08 12:00:00
"282",2018-05-09 12:00:00
"283",2018-05-10 12:00:00
"284",2018-05-11 12:00:00
"285",2018-05-12 12:00:00
"286",2018-05-13 12:00:00
"287",2018-05-14 12:00:00
"288",2018-05-15 12:00:00
"289",2018-05-16 12:00:00
"290",2018-05-17 12:00:00
"291",2018-05-18 12:00:00
"292",2018-05-19 12:00:00
"293",2018-05-20 12:00:00
"294",2018-05-21 12:00:00
"295",2018-05-22 12:00:00
"296",2018-05-23 12:00:00
"297",2018-05-24 12:00:00
"298",2018-05-25 12:00:00
"299",2018-05-26 12:00:00
"300",2018-05-27 12:00:00
"301",2018-05-28 12:00:00
"302",2018-05-29 12:00:00
"303",2018-05-30 12:00:00
"304",2018-05-31 12:00:00
"305",2018-06-01 12:00:00
"306",2018-06-02 12:00:00
"307",2018-06-03 12:00:00
"308",2018-06-04 12:00:00
"309",2018-06-05 12:00:00
"310",2018-06-06 12:00:00
"311",2018-06-07 12:00:00
"312",2018-06-08 12:00:00
"313",2018-06-09 12:00:00
"314",2018-06-10 12:00:00
"315",2018-06-11 12:00:00
"316",2018-06-12 12:00:00
"317",2018-06-13 12:00:00
"318",2018-06-14 12:00:00
"319",2018-06-15 12:00:00
"320",2018-06-16 12:00:00
"321",2018-06-17 12:00:00
"322",2018-06-18 12:00:00
"323",2018-06-19 12:00:00
"324",2018-06-20 12:00:00
"325",2018-06-21 12:00:00
"326",2018-06-22 12:00:00
"327",2018-06-23 12:00:00
"328",2018-06-24 12:00:00
"329",2018-06-25 12:00:00
"330",2018-06-26 12:00:00
"331",2018-06-27 12:00:00
"332",2018-06-28 12:00:00
"333",2018-06-29 12:00:00
"334",2018-06-30 12:00:00
"335",2018-07-01 12:00:00
"336",2018-07-02 12:00:00
"337",2018-07-03 12:00:00
"338",2018-07-04 12:00:00
"339",2018-07-05 12:00:00
"340",2018-07-06 12:00:00
"341",2018-07-07 12:00:00
"342",2018-07-08 12:00:00
"343",2018-07-09 12:00:00
"344",2018-07-10 12:00:00
"345",2018-07-11 12:00:00
"346",2018-07-12 12:00:00
"347",2018-07-13 12:00:00
"348",2018-07-14 12:00:00
"349",2018-07-15 12:00:00
"350",2018-07-16 12:00:00
"351",2018-07-17 12:00:00
"352",2018-07-18 12:00:00
"353",2018-07-19 12:00:00
"354",2018-07-20 12:00:00
"355",2018-07-21 12:00:00
"356",2018-07-22 12:00:00
"357",2018-07-23 12:00:00
"358",2018-07-24 12:00:00
"359",2018-07-25 12:00:00
"360",2018-07-26 12:00:00
"361",2018-07-27 12:00:00
"362",2018-07-28 12:00:00
"363",2018-07-29 12:00:00
"364",2018-07-30 12:00:00
"365",2018-07-31 12:00:00
"366",2018-08-01 12:00:00
"367",2018-08-02 12:00:00
"368",2018-08-03 12:00:00
"369",2018-08-04 12:00:00
"370",2018-08-05 12:00:00
"371",2018-08-06 12:00:00
"372",2018-08-07 12:00:00
"373",2018-08-08 12:00:00
"374",2018-08-09 12:00:00
"375",2018-08-10 12:00:00
"376",2018-08-11 12:00:00
"377",2018-08-12 12:00:00
"378",2018-08-13 12:00:00
"379",2018-08-14 12:00:00
"380",2018-08-15 12:00:00
"381",2018-08-16 12:00:00
"382",2018-08-17 12:00:00
"383",2018-08-18 12:00:00
"384",2018-08-19 12:00:00
"385",2018-08-20 12:00:00
"386",2018-08-21 12:00:00
"387",2018-08-22 12:00:00
"388",2018-08-23 12:00:00
"389",2018-08-24 12:00:00
"390",2018-08-25 12:00:00
"391",2018-08-26 12:00:00
"392",2018-08-27 12:00:00
"393",2018-08-28 12:00:00
"394",2018-08-29 12:00:00
"395",2018-08-30 12:00:00
"396",2018-08-31 12:00:00
"397",2018-09-01 12:00:00
"398",2018-09-02 12:00:00
"399",2018-09-03 12:00:00
"400",2018-09-04 12:00:00
"401",2018-09-05 12:00:00
"402",2018-09-06 12:00:00
"403",2018-09-07 12:00:00
"404",2018-09-08 12:00:00
"405",2018-09-09 12:00:00
"406",2018-09-10 12:00:00
"407",2018-09-11 12:00:00
"408",2018-09-12 12:00:00
"409",2018-09-13 12:00:00
"410",2018-09-14 12:00:00
"411",2018-09-15 12:00:00
"412",2018-09-16 12:00:00
"413",2018-09-17 12:00:00
"414",2018-09-18 12:00:00
"415",2018-09-19 12:00:00
"416",2018-09-20 12:00:00
"417",2018-09-21 12:00:00
"418",2018-09-22 12:00:00
"419",2018-09-23 12:00:00
"420",2018-09-24 12:00:00
"421",2018-09-25 12:00:00
"422",2018-09-26 12:00:00
"423",2018-09-27 12:00:00
"424",2018-09-28 12:00:00
"425",2018-09-29 12:00:00
"426",2018-09-30 12:00:00
"427",2018-10-01 12:00:00
"428",2018-10-02 12:00:00
"429",2018-10-03 12:00:00
"430",2018-10-04 12:00:00
"431",2018-10-05 12:00:00
"432",2018-10-06 12:00:00
"433",2018-10-07 12:00:00
"434",2018-10-08 12:00:00
"435",2018-10-09 12:00:00
"436",2018-10-10 12:00:00
"437",2018-10-11 12:00:00
"438",2018-10-12 12:00:00
"439",2018-10-13 12:00:00
"440",2018-10-14 12:00:00
"441",2018-10-15 12:00:00
"442",2018-10-16 12:00:00
"443",2018-10-17 12:00:00
"444",2018-10-18 12:00:00
"445",2018-10-19 12:00:00
"446",2018-10-20 12:00:00
"447",2018-10-21 12:00:00
"448",2018-10-22 12:00:00
"449",2018-10-23 12:00:00
"450",2018-10-24 12:00:00
"451",2018-10-25 12:00:00
"452",2018-10-26 12:00:00
"453",2018-10-27 12:00:00
"454",2018-10-28 12:00:00
"455",2018-10-29 12:00:00
"456",2018-10-30 12:00:00
"457",2018-10-31 12:00:00
"458",2018-11-01 12:00:00
"459",2018-11-02 12:00:00
"460",2018-11-03 12:00:00
"461",2018-11-04 12:00:00
"462",2018-11-05 12:00:00
"463",2018-11-06 12:00:00
"464",2018-11-07 12:00:00
"465",2018-11-08 12:00:00
"466",2018-11-09 12:00:00
"467",2018-11-10 12:00:00
"468",2018-11-11 12:00:00
"469",2018-11-12 12:00:00
"470",2018-11-13 12:00:00
"471",2018-11-14 12:00:00
"472",2018-11-15 12:00:00
"473",2018-11-16 12:00:00
"474",2018-11-17 12:00:00
"475",2018-11-18 12:00:00
"476",2018-11-19 12:00:00
"477",2018-11-20 12:00:00
"478",2018-11-21 12:00:00
"479",2018-11-22 12:00:00
"480",2018-11-23 12:00:00
"481",2018-11-24 12:00:00
"482",2018-11-25 12:00:00
"483",2018-11-26 12:00:00
"484",2018-11-27 12:00:00
"485",2018-11-28 12:00:00
"486",2018-11-29 12:00:00
"487",2018-11-30 12:00:00
"488",2018-12-01 12:00:00
"489",2018-12-02 12:00:00
"490",2018-12-03 12:00:00
"491",2018-12-04 12:00:00
"492",2018-12-05 12:00:00
"493",2018-12-06 12:00:00
"494",2018-12-07 12:00:00
"495",2018-12-08 12:00:00
"496",2018-12-09 12:00:00
"497",2018-12-10 12:00:00
"498",2018-12-11 12:00:00
"499",2018-12-12 12:00:00
"500",2018-12-13 12:00:00
"501",2018-12-14 12:00:00
"502",2018-12-15 12:00:00
"503",2018-12-16 12:00:00
"504",2018-12-17 12:00:00
"505",2018-12-18 12:00:00
"506",2018-12-19 12:00:00
"507",2018-12-20 12:00:00
"508",2018-12-21 12:00:00
"509",2018-12-22 12:00:00
"510",2018-12-23 12:00:00
"511",2018-12-24 12:00:00
"512",2018-12-25 12:00:00
"513",2018-12-26 12:00:00
"514",2018-12-27 12:00:00
"515",2018-12-28 12:00:00
"516",2018-12-29 12:00:00
"517",2018-12-30 12:00:00
"518",2018-12-31 12:00:00
"519",2019-01-01 12:00:00
"520",2019-01-02 12:00:00
"521",2019-01-03 12:00:00
"522",2019-01-04 12:00:00
"523",2019-01-05 12:00:00
"524",2019-01-06 12:00:00
"525",2019-01-07 12:00:00
"526",2019-01-08 12:00:00
"527",2019-01-09 12:00:00
"528",2019-01-10 12:00:00
"529",2019-01-11 12:00:00
"530",2019-01-12 12:00:00
"531",2019-01-13 12:00:00
"532",2019-01-14 12:00:00
"533",2019-01-15 12:00:00
"534",2019-01-16 12:00:00
"535",2019-01-17 12:00:00
"536",2019-01-18 12:00:00
"537",2019-01-19 12:00:00
"538",2019-01-20 12:00:00
"539",2019-01-21 12:00:00
"540",2019-01-22 12:00:00
"541",2019-01-23 12:00:00
"542",2019-01-24 12:00:00
"543",2019-01-25 12:00:00
"544",2019-01-26 12:00:00
"545",2019-01-27 12:00:00
"546",2019-01-28 12:00:00
"547",2019-01-29 12:00:00
"548",2019-01-30 12:00:00
"549",2019-01-31 12:00:00
"550",2019-02-01 12:00:00
"551",2019-02-02 12:00:00
"552",2019-02-03 12:00:00
"553",2019-02-04 12:00:00
"554",2019-02-05 12:00:00
"555",2019-02-06 12:00:00
"556",2019-02-07 12:00:00
"557",2019-02-08 12:00:00
"558",2019-02-09 12:00:00
"559",2019-02-10 12:00:00
"560",2019-02-11 12:00:00
"561",2019-02-12 12:00:00
"562",2019-02-13 12:00:00
"563",2019-02-14 12:00:00
"564",2019-02-15 12:00:00
"565",2019-02-16 12:00:00
"566",2019-02-17 12:00:00
"567",2019-02-18 12:00:00
"568",2019-02-19 12:00:00
"569",2019-02-20 12:00:00
"570",2019-02-21 12:00:00
"571",2019-02-22 12:00:00
"572",2019-02-23 12:00:00
"573",2019-02-24 12:00:00
"574",2019-02-25 12:00:00
"575",2019-02-26 12:00:00
"576",2019-02-27 12:00:00
"577",2019-02-28 12:00:00
"578",2019-03-01 12:00:00
"579",2019-03-02 12:00:00
"580",2019-03-03 12:00:00
"581",2019-03-04 12:00:00
"582",2019-03-05 12:00:00
"583",2019-03-06 12:00:00
"584",2019-03-07 12:00:00
"585",2019-03-08 12:00:00
"586",2019-03-09 12:00:00
"587",2019-03-10 12:00:00
"588",2019-03-11 12:00:00
"589",2019-03-12 12:00:00
"590",2019-03-13 12:00:00
"591",2019-03-14 12:00:00
"592",2019-03-15 12:00:00
"593",2019-03-16 12:00:00
"594",2019-03-17 12:00:00
"595",2019-03-18 12:00:00
"596",2019-03-19 12:00:00
"597",2019-03-20 12:00:00
"598",2019-03-21 12:00:00
"599",2019-03-22 12:00:00
"600",2019-03-23 12:00:00
"601",2019-03-24 12:00:00
"602",2019-03-25 12:00:00
"603",2019-03-26 12:00:00
"604",2019-03-27 12:00:00
"605",2019-03-28 12:00:00
"606",2019-03-29 12:00:00
"607",2019-03-30 12:00:00
"608",2019-03-31 12:00:00
"609",2019-04-01 12:00:00
"610",2019-04-02 12:00:00
"611",2019-04-03 12:00:00
"612",2019-04-04 12:00:00
"613",2019-04-05 12:00:00
"614",2019-04-06 12:00:00
"615",2019-04-07 12:00:00
"616",2019-04-08 12:00:00
"617",2019-04-09 12:00:00
"618",2019-04-10 12:00:00
"619",2019-04-11 12:00:00
"620",2019-04-12 12:00:00
"621",2019-04-13 12:00:00
"622",2019-04-14 12:00:00
"623",2019-04-15 12:00:00
"624",2019-04-16 12:00:00
"625",2019-04-17 12:00:00
"626",2019-04-18 12:00:00
"627",2019-04-19 12:00:00
"628",2019-04-20 12:00:00
"629",2019-04-21 12:00:00
"630",2019-04-22 12:00:00
"631",2019-04-23 12:00:00
"632",2019-04-24 12:00:00
"633",2019-04-25 12:00:00
"634",2019-04-26 12:00:00
"635",2019-04-27 12:00:00
"636",2019-04-28 12:00:00
"637",2019-04-29 12:00:00
"638",2019-04-30 12:00:00
"639",2019-05-01 12:00:00
"640",2019-05-02 12:00:00
"641",2019-05-03 12:00:00
"642",2019-05-04 12:00:00
"643",2019-05-05 12:00:00
"644",2019-05-06 12:00:00
"645",2019-05-07 12:00:00
"646",2019-05-08 12:00:00
"647",2019-05-09 12:00:00
"648",2019-05-10 12:00:00
"649",2019-05-11 12:00:00
"650",2019-05-12 12:00:00
"651",2019-05-13 12:00:00
"652",2019-05-14 12:00:00
"653",2019-05-15 12:00:00
"654",2019-05-16 12:00:00
"655",2019-05-17 12:00:00
"656",2019-05-18 12:00:00
"657",2019-05-19 12:00:00
"658",2019-05-20 12:00:00
"659",2019-05-21 12:00:00
"660",2019-05-22 12:00:00
"661",2019-05-23 12:00:00
"662",2019-05-24 12:00:00
"663",2019-05-25 12:00:00
"664",2019-05-26 12:00:00
"665",2019-05-27 12:00:00
"666",2019-05-28 12:00:00
"667",2019-05-29 12:00:00
"668",2019-05-30 12:00:00
"669",2019-05-31 12:00:00
"670",2019-06-01 12:00:00
"671",2019-06-02 12:00:00
"672",2019-06-03 12:00:00
"673",2019-06-04 12:00:00
"674",2019-06-05 12:00:00
"675",2019-06-06 12:00:00
"676",2019-06-07 12:00:00
"677",2019-06-08 12:00:00
"678",2019-06-09 12:00:00
"679",2019-06-10 12:00:00
"680",2019-06-11 12:00:00
"681",2019-06-12 12:00:00
"682",2019-06-13 12:00:00
"683",2019-06-14 12:00:00
"684",2019-06-15 12:00:00
"685",2019-06-16 12:00:00
"686",2019-06-17 12:00:00
"687",2019-06-18 12:00:00
"688",2019-06-19 12:00:00
"689",2019-06-20 12:00:00
"690",2019-06-21 12:00:00
"691",2019-06-22 12:00:00
"692",2019-06-23 12:00:00
"693",2019-06-24 12:00:00
"694",2019-06-25 12:00:00
"695",2019-06-26 12:00:00
"696",2019-06-27 12:00:00
"697",2019-06-28 12:00:00
"698",2019-06-29 12:00:00
"699",2019-06-30 12:00:00
"700",2019-07-01 12:00:00
"701",2019-07-02 12:00:00
"702",2019-07-03 12:00:00
"703",2019-07-04 12:00:00
"704",2019-07-05 12:00:00
"705",2019-07-06 12:00:00
"706",2019-07-07 12:00:00
"707",2019-07-08 12:00:00
"708",2019-07-09 12:00:00
"709",2019-07-10 12:00:00
"710",2019-07-11 12:00:00
"711",2019-07-12 12:00:00
"712",2019-07-13 12:00:00
"713",2019-07-14 12:00:00
"714",2019-07-15 12:00:00
"715",2019-07-16 12:00:00
"716",2019-07-17 12:00:00
"717",2019-07-18 12:00:00
"718",2019-07-19 12:00:00
"719",2019-07-20 12:00:00
"720",2019-07-21 12:00:00
"721",2019-07-22 12:00:00
"722",2019-07-23 12:00:00
"723",2019-07-24 12:00:00
"724",2019-07-25 12:00:00
"725",2019-07-26 12:00:00
"726",2019-07-27 12:00:00
"727",2019-07-28 12:00:00
"728",2019-07-29 12:00:00
"729",2019-07-30 12:00:00
"730",2019-07-31 12:00:00
